ID,Nom,Frais,Frais EXTRA: Moyen - MED,Frais EXTRA: Lourd - HVY,Frais EXTRA: Volumineux - BLK,Frais EXTRA: Surdimensionné - OVS,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,Informations
506,Oulad yahya-Marrakech,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
507,Chrifia-Marrakech,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
508,Sidi Abdellah Ghiat,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
509,Ait Ben Haddou,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
510,TALSINNT,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
511,Aouama-Tanger,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
512,Ras El Ain Rehamena- Tamelelt,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
513,Tlauh - Tamelelt,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
514,EL AIOUN SIDI MELLOUK,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
515,Bir Tam Tam,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
516,Ras Tabouda,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Non,Oui,
517,Zaouia Bougrine,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
518,El houmer-taroudant,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
519,Oulad Terna,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
520,Ouled Abbou-TAROUDANT,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
521,Oulad Aissa-TAROUDANT,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
522,Tazemmourt-taroudant,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
523,tamaloukt-taroudant,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
524,nouail-taroudant,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
525,oulad mhela-taroudant,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
526,El boura-taroudant,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
527,Oulad brahim-taroudant,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
528,Sidi moussa lhamri-TAROUDANT,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
529,Ahmar laglalcha-taroudant,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
530,IGHREM-TATA,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
531,ASJENN-ouazzane,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
532,TAFOUGHALT,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
533,AIN SFA-OUJDA,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
