ID,Nom,Frais,Frais EXTRA: Moyen - MED,Frais EXTRA: Lourd - HVY,Frais EXTRA: Volumineux - BLK,Frais EXTRA: Surdimensionné - OVS,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,Informations
103,Oulad Teima,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
104,Ait Laaza,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
105,Aoulouz,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
107,Taliouine,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
108,Sebt El Guerdane,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
109,Berkane,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
110,Saidia,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
111,Ras El Ma (REG NADOR),45.00,+15,+35,+55,+75,Non,Oui,Non,Non,Non,Oui,Non,
112,Bni Drar,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
113,Ahfir,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
114,Aklim,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Oui,Non,
115,Zeghanghane,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
116,Farkhana,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
117,Taza,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
118,Guercif,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
119,Tiznit,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
120,Safi,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
121,Had Hrara,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Non,Oui,
122,Sebt Gzoula,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
125,Larache,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
126,Ksar El Kebir,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
127,Chefchaouen,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
128,Sidi Bernoussi,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
129,Casablanca,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
130,Sidi Messaoud,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
131,Bouskoura,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
132,Dar Bouaza,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
133,Mediouna,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
134,Tit Melil,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
135,El Kelaa Des Sraghna,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
136,El Jadida,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
138,Sidi Bouzid,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
140,Oualidia,45.00,+15,+35,+55,+75,Oui,Non,Non,Non,Non,Non,Non,
141,Sidi Bennour,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
142,Beni Ansar,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
143,Izemmouren,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
144,Laayoune,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
145,El Marsa,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
146,Beni Mellal,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
147,Fquih Ben Salah,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
148,Sebt Oulad Nemma,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
149,Afourer,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
150,Ouled Yaiche,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
151,El Ksiba,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
152,Ain Aouda,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
153,Tamansourt,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
154,Benslimane ( reg mohamedia),40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
156,Kasbah Tadla,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
157,Chemaia,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
160,Ourika,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
161,Tahannaout,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
162,Ait Ourir,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
164,Oudaya,40.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
165,Chichaoua,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
166,Assilah,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
167,Bouznika,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
168,Sefrou,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
169,Taourirt,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
170,Chouiter,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
171,Sidi Allal el Bahraoui,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Non,Non,
172,Romani,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
173,Oulmas,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
174,Ouazzane,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
175,Ain Dorij,45.00,+15,+35,+55,+75,Non,Oui,Non,Non,Oui,Non,Non,
177,Sidi Redouane,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
179,Moqrisset,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
180,Zoumi,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
181,Harhoura,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
182,Laattaouia,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
183,Rissani,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
184,Arfoud,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
185,Merzouga,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
186,Taddart - TAZA -,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
187,Bni Bouayach,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
188,Azilal,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
189,Ouaouizeght,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Oui,Non,
190,Bejaad,45.00,+15,+35,+55,+75,Oui,Non,Oui,Oui,Oui,Oui,Non,
191,Tinghir,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
192,Boumalne Dades,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
193,Kalaat MGouna,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
194,Alnif,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
195,Bou Adel,45.00,+15,+35,+55,+75,Non,Oui,Non,Non,Non,Oui,Non,
196,Zrizer,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
199,Ain Aicha,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
200,Taounate,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
201,Awrir,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
202,Ait amira,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
203,Belfaa,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
204,Anza,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
205,DERDARA,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
206,Bab Taza,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
207,AKCHOUR,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
208,Bab berred,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
209,El Jebeha,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Non,Oui,Non,
210,Midelt,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
211,Jerada,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
212,Bouarfa,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
213,Laayoun Cherqia,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
214,Zagora,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
215,Tamegroute,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Oui,Non,Non,
216,Tagomite,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Oui,Non,Non,
217,Mhamid Lghezlane,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Non,Oui,
218,Agdz,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Non,Oui,
219,Nkob,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
220,Tazzarine,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
221,Taghbalte,45.00,+15,+35,+55,+75,Oui,Non,Non,Non,Oui,Non,Non,
222,Errich,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
223,Missour,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
224,Boumia,45.00,+15,+35,+55,+75,Non,Non,Non,Oui,Non,Oui,Non,
225,Tinjdad,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
226,Gulmima - errachidia,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
227,Sidi Bouknadel,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
228,Imintanoute,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
229,Demnate,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
230,Ouad Laou,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
231,Cabo Negro,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
232,Khmiss Zemamera,45.00,+15,+35,+55,+75,Non,Oui,Oui,Oui,Non,Oui,Non,
234,Sidi Smail,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
235,Oulad Fraj,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Oui,Non,Non,
236,Mellalyène,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
237,Sidi Rehal-casa,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
238,Assa,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
239,Assa,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
240,Rehamna,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
241,Lakhssas,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
242,Aoufous,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
243,Boudnib,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
244,Ben Ahmed - Settat -,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
245,Sidi Bou Othmane,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
246,Asni,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
247,Souk Elarbaa Du Gharb,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
248,Ajdir (Région Taza),45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
250,Amzmiz,40.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
251,Drarga,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
253,Anza - Taddart,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
254,Zayda,45.00,+15,+35,+55,+75,Non,Non,Non,Oui,Non,Oui,Non,
255,Outat El Haj,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
256,Tahla,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
257,Oued Amlil,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
258,Imouzzer Kandar,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
260,Biogra,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
261,Terfaya,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Oui,Non,Non,
262,Tazenakht,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Oui,Non,
263,Figuig,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Non,Non,
264,Tendrara,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Non,Non,
266,Beni Tajjite,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
267,Bouanane,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
268,Tata,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
270,Mzoudia,40.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
271,Ksar Sghir,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
272,Tamelelt,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
273,El Gara,40.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
274,Mirleft,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
275,lqliaa,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
276,oulad berhil,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
277,zaida,45.00,+15,+35,+55,+75,Non,Non,Non,Oui,Non,Oui,Non,
279,targuist,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
280,issaguen,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
281,tala youssef,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
282,Jaadar,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
283,Midar,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Non,Non,
284,Ben Taieb,45.00,+15,+35,+55,+75,Oui,Non,Oui,Oui,Oui,Oui,Non,
285,Kassita,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
286,Tafersit,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Non,Non,
287,Dar El Kebdani,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Oui,Non,
288,Oulad Settout,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Non,Oui,Non,Non,
289,Bouarg,45.00,+15,+35,+55,+75,Oui,Non,Non,Non,Non,Non,Non,
290,Arekmane,45.00,+15,+35,+55,+75,Oui,Non,Non,Non,Non,Non,Non,
291,Krona,45.00,+15,+35,+55,+75,Non,Non,Non,Oui,Non,Non,Non,
292,Boudinar,45.00,+15,+35,+55,+75,Non,Non,Non,Oui,Non,Non,Non,
293,Tamsamane,45.00,+15,+35,+55,+75,Non,Non,Non,Oui,Non,Non,Non,
294,Annual,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
296,BENI CHIKER,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
297,Mariouari,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
298,Tiztoutine,45.00,+15,+35,+55,+75,Oui,Non,Non,Non,Non,Non,Non,
299,Tamaris,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
300,Karia Be Mohammed,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
301,Taddart - Charaf - AGADIR,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
302,Ben Ahmed - CHEFCHAOUEN -,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Non,Non,
303,Tnine Chtouka (el jadida),45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
304,AIN CHGAG,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
305,Tafraoute,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
306,Houara-oulad teima,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
307,ERRAHMA VILLE,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
308,azrou ait melloul,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
309,Ben Yakhlef,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
310,El Mansouria,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
312,cap beddouza,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
313,Jemâa-Shaim,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
314,El Borouj,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
315,oulad said settat,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
316,sidi hajjaj (settat),45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
317,Ras El Ain (settat),45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
318,Guisser (settat),45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
320,Lakhyayeta,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
321,Nzalat Laadam,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
322,Oulad Zidoh,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
323,souiria Guedima (REG SAFI),45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
324,Jorf El Melha,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
325,Ain Beida,45.00,+15,+35,+55,+75,Oui,Non,Oui,Oui,Oui,Oui,Non,
326,Mokrisset,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
327,Oulad Ayad,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
329,AIN ATIQ,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
330,Moulay Bousselham,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
331,Khenichet,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
332,Zoumi-Ouazzane,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
333,Teroual - Ouazzane,45.00,+15,+35,+55,+75,Non,Oui,Non,Non,Oui,Non,Non,
334,Ain Dfali-Ouazzane,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
335,Masmouda - Ouazzane,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
336,Stehat-Chefchaouen,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Non,Oui,Non,
337,Temsia-agadir,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
338,Tamraght,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
339,Had bouhssoussen,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
340,Moulay bouazza khenifra,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
341,Tagzert,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
342,Oulad M barek-Beni Mellal,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
343,Tanougha-Beni Mellal,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
344,Foum Oudi,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
345,Ikhourbane,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
346,Zag-VILLE,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
347,El Ouatia,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
348,Port of Tan-Tan,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
349,oulad oujih,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
350,Lalla Mimouna,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
351,Dlalha,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
352,Mers El Kheir,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
353,Sidi Yahya Zaer,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
354,Skhour Rehamna,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
355,Amizmiz,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
356,El Hanchane,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
357,Akka-tata,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
358,Tagmout-tata,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
359,Issafen-tata,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
360,Fam El Hisn-tata,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
362,MASSA,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
363,Kariat Arkman-Nador,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
364,Had Hrara-SAFI,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Non,Oui,
365,Sidi Zouine,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
366,Skoura-Ouarzazate,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Oui,Non,
367,Bni hdifa - Region Al hoceima,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
368,Bab Marzouka-Taza,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
369,Aknoul-taza,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
370,Hatane-Khouribga,45.00,+15,+35,+55,+75,Non,Oui,Oui,Oui,Oui,Non,Non,
371,sidi allal tazi,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
372,Tiddas,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
373,Ain Johra,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
374,Maâziz,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Oui,Non,
376,Tīdās-Khemisset,45.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Oui,Non,
377,Laouamra- ksar el kebir,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
378,Khemis Sahel,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
379,Krimda,40.00,+15,+35,+55,+75,Non,Non,Non,Non,Non,Non,Non,
380,Sidi Aissa-Beni-Mellal,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
381,Ouled Moussa-Beni Mellal,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
382,Oulad Said-Beni Mellal,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
383,ighram laalam-beni mellal,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
384,Tanougha-Beni Mellal,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
385,Zaouiat Cheikh,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
386,Ait Ali,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
387,Lehri-KHENIFRA,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
388,El Kebab-KHENIFRA,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
389,El Borj-KHENIFRA,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
391,Ouaoumana,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
